multi_title,theta,n_keywords,p,r
TRUE,0.206913808,19,0.503785272,0.954367666
TRUE,0.206913808,21,0.508344924,0.953063885
TRUE,0.206913808,23,0.506232687,0.953063885
TRUE,0.206913808,25,0.506583507,0.953063885
TRUE,0.206913808,27,0.509407666,0.953063885
TRUE,0.206913808,28,0.506934813,0.953063885
TRUE,0.206913808,30,0.508344924,0.953063885
TRUE,0.206913808,32,0.51047486,0.953063885
TRUE,0.206913808,34,0.519176136,0.953063885
TRUE,0.206913808,36,0.516607774,0.953063885
TRUE,0.206913808,38,0.514064698,0.953063885
TRUE,0.206913808,40,0.534883721,0.95958279
TRUE,0.233572147,5,0.534970238,0.937418514
TRUE,0.233572147,6,0.570306363,0.94654498
TRUE,0.233572147,8,0.542728636,0.943937419
TRUE,0.233572147,10,0.541387025,0.94654498
TRUE,0.233572147,12,0.564641745,0.945241199
TRUE,0.233572147,14,0.554961832,0.947848761
TRUE,0.233572147,16,0.543348281,0.947848761
TRUE,0.233572147,17,0.540520446,0.947848761
TRUE,0.233572147,19,0.545048399,0.954367666
TRUE,0.233572147,21,0.544642857,0.954367666
TRUE,0.233572147,23,0.541420118,0.954367666
TRUE,0.233572147,25,0.542624166,0.954367666
TRUE,0.233572147,27,0.544237918,0.954367666
TRUE,0.233572147,28,0.544642857,0.954367666
TRUE,0.233572147,30,0.545048399,0.954367666
TRUE,0.233572147,32,0.546676624,0.954367666
TRUE,0.233572147,34,0.553544495,0.956975228
TRUE,0.233572147,36,0.549812734,0.956975228
TRUE,0.233572147,38,0.549812734,0.956975228
TRUE,0.233572147,40,0.567026194,0.95958279
TRUE,0.26366509,5,0.557275542,0.938722295
TRUE,0.26366509,6,0.590724166,0.94654498
TRUE,0.26366509,8,0.65520362,0.943937419
TRUE,0.26366509,10,0.645276292,0.943937419
TRUE,0.26366509,12,0.659132007,0.950456323
TRUE,0.26366509,14,0.598039216,0.954367666
TRUE,0.26366509,16,0.596091205,0.954367666
TRUE,0.26366509,17,0.595606184,0.954367666
TRUE,0.26366509,19,0.586538462,0.954367666
TRUE,0.26366509,21,0.584197925,0.954367666
TRUE,0.26366509,23,0.588282504,0.955671447
TRUE,0.26366509,25,0.58499601,0.955671447
TRUE,0.26366509,27,0.58499601,0.955671447
TRUE,0.26366509,28,0.582670906,0.955671447
TRUE,0.26366509,30,0.583134447,0.955671447
TRUE,0.26366509,32,0.583598726,0.955671447
TRUE,0.26366509,34,0.589414595,0.958279009
TRUE,0.26366509,36,0.589414595,0.958279009
TRUE,0.26366509,38,0.588470777,0.958279009
TRUE,0.26366509,40,0.608408904,0.962190352
TRUE,0.297635144,5,0.603520536,0.938722295
TRUE,0.297635144,6,0.64833183,0.937418514
TRUE,0.297635144,8,0.713170732,0.953063885
TRUE,0.297635144,10,0.683568075,0.949152542
TRUE,0.297635144,12,0.677509294,0.950456323
TRUE,0.297635144,14,0.667276051,0.951760104
TRUE,0.297635144,16,0.658844765,0.951760104
TRUE,0.297635144,17,0.665150136,0.953063885
TRUE,0.297635144,19,0.656193896,0.953063885
TRUE,0.297635144,21,0.668190128,0.953063885
TRUE,0.297635144,23,0.670027498,0.953063885
TRUE,0.297635144,25,0.6724931,0.953063885
TRUE,0.297635144,27,0.6724931,0.953063885
TRUE,0.297635144,28,0.669413919,0.953063885
TRUE,0.297635144,30,0.662137681,0.953063885
TRUE,0.297635144,32,0.622769754,0.955671447
TRUE,0.297635144,34,0.625426621,0.955671447
TRUE,0.297635144,36,0.626064736,0.958279009
TRUE,0.297635144,38,0.625,0.958279009
TRUE,0.297635144,40,0.624468989,0.958279009
TRUE,0.335981829,5,0.649727768,0.933507171
TRUE,0.335981829,6,0.730417091,0.936114733
TRUE,0.335981829,8,0.730460922,0.950456323
TRUE,0.335981829,10,0.720953327,0.94654498
TRUE,0.335981829,12,0.69370229,0.947848761
TRUE,0.335981829,14,0.7109375,0.949152542
TRUE,0.335981829,16,0.644783118,0.717079531
TRUE,0.335981829,17,0.642191142,0.718383312
TRUE,0.335981829,19,0.640697674,0.718383312
TRUE,0.335981829,21,0.637731481,0.718383312
TRUE,0.335981829,23,0.63699422,0.718383312
TRUE,0.335981829,25,0.640697674,0.718383312
TRUE,0.335981829,27,0.641443539,0.718383312
TRUE,0.335981829,28,0.63115693,0.718383312
TRUE,0.335981829,30,0.63115693,0.718383312
TRUE,0.335981829,32,0.630434783,0.718383312
TRUE,0.335981829,34,0.629714286,0.718383312
TRUE,0.335981829,36,0.628995434,0.718383312
TRUE,0.335981829,38,0.630434783,0.718383312
TRUE,0.335981829,40,0.642191142,0.718383312
TRUE,0.379269019,5,0.779363337,0.925684485
TRUE,0.379269019,6,0.808126411,0.933507171
TRUE,0.379269019,8,0.724324324,0.698826597
TRUE,0.379269019,10,0.729585007,0.710560626
TRUE,0.379269019,12,0.737550471,0.714471969
TRUE,0.379269019,14,0.73458445,0.714471969
TRUE,0.379269019,16,0.729585007,0.710560626
TRUE,0.379269019,17,0.725699068,0.710560626
TRUE,0.379269019,19,0.707894737,0.701434159
TRUE,0.379269019,21,0.695541401,0.711864407
TRUE,0.379269019,23,0.699872286,0.714471969
TRUE,0.379269019,25,0.700389105,0.704041721
TRUE,0.379269019,27,0.670384139,0.705345502
TRUE,0.379269019,28,0.701298701,0.704041721
TRUE,0.379269019,30,0.698576973,0.704041721
TRUE,0.379269019,32,0.693196406,0.704041721
TRUE,0.379269019,34,0.693196406,0.704041721
TRUE,0.379269019,36,0.687578419,0.714471969
TRUE,0.379269019,38,0.682440847,0.714471969
TRUE,0.379269019,40,0.691046658,0.714471969
TRUE,0.42813324,5,0.746054519,0.677966102
TRUE,0.42813324,6,0.75872093,0.680573664
TRUE,0.42813324,8,0.775659824,0.68970013
TRUE,0.42813324,10,0.797317437,0.697522816
TRUE,0.42813324,12,0.80058651,0.711864407
TRUE,0.42813324,14,0.783625731,0.698826597
TRUE,0.42813324,16,0.78425656,0.701434159
TRUE,0.42813324,17,0.788546256,0.700130378
TRUE,0.42813324,19,0.82208589,0.698826597
TRUE,0.42813324,21,0.806015038,0.698826597
TRUE,0.42813324,23,0.827160494,0.698826597
TRUE,0.42813324,25,0.818320611,0.698826597
TRUE,0.42813324,27,0.825885978,0.698826597
TRUE,0.42813324,28,0.815829528,0.698826597
TRUE,0.42813324,30,0.814589666,0.698826597
TRUE,0.42813324,32,0.787077827,0.698826597
TRUE,0.42813324,34,0.78477306,0.698826597
TRUE,0.42813324,36,0.815829528,0.698826597
TRUE,0.42813324,38,0.809667674,0.698826597
TRUE,0.42813324,40,0.814589666,0.698826597
TRUE,0.483293024,5,0.812400636,0.666232073
TRUE,0.483293024,6,0.861538462,0.657105606
TRUE,0.483293024,8,0.85738255,0.666232073
TRUE,0.483293024,10,0.89119171,0.672750978
